Nom du lieu;Nom du porteur;Adresse mail;Type de porteur;Détail du type de porteur;Adresse;Code postal;Commune;Code INSEE;Numéro de téléphone;Site web;Descriptif;Logo;Photo;Public;Accès;Restrictions d'usage;Tarif(s);Horaires du lundi;Horaires du mardi;Horaires du mercredi;Horaires du jeudi;Horaires du vendredi;Horaires du samedi;Horaires du dimanche;Complément sur les horaires;Ordinateur(s);Tablette(s);Scanner(s);Imprimante(s);Borne(s) CAF;Connexion Wi-Fi;Complément sur les équipements;Formation;Accompagnement individuel;Fourniture d'équipement;Complément sur les services;Compte InfoLocale;Localisation;Clé;Date de saisie;Date d'enregistrement;Date de modification;Services;Équipements;Ordinateur(s) libellé;Tablette(s) libellé;Scanner(s) libellé;Imprimante(s) libellé;Borne(s) CAF libellé;Connexion Wi-Fi libellé;Formation libellé;Accompagnement individuel individuel libellé;Fourniture d'équipement libellé
Mairie Point Emploi;Mairie de Herbignac;;Institution;;1 avenue de la Monneraye;44410;Herbignac;44072;0240889001;http://www.herbignac.com/?-Orientation-et-Emploi-;;;;tout public;;un ordinateur spécial CAF et Pôle Emploi;gratuit;8h30-12h 13h30-17h30;8h30-12h 13h30-17h30;8h30-12h 13h30-17h30;8h30-12h 13h30-17h30;8h30-12h 13h30-17h30;;;;1;0;0;0;0;0;2 ordinateurs, dont un spécifique à la CAF et au Pôle Emploi;0;1;0;;;47.44923, -2.311824;RZCS-FM8P;2018-12-21T12:33:51+01:00;2018-12-21T12:36:36+01:00;2019-11-02T15:42:11+01:00;Accompagnement individuel;Ordinateur(s);Ordinateur(s);;;;;;;Accompagnement individuel;
Médiathèque Mille et une pages;Médiathèque Mille et une pages;;Bibliothèque / Médiathèque;;16 rue Emile Gabory,;44330;Vallet;44212;+33 2 40 33 91 84;bibliotheques.cc-vallet.fr;;;;Tout public;;;gratuit;;16h-18h;10h-18h;;15h-19h;10h-12h30   14h30-18h;10h30-12h;;1;1;0;1;0;1;;0;0;0;;;47.16211, -1.268697;H8XZ-AXFL;2018-12-12T15:19:12+01:00;2018-12-12T15:30:49+01:00;2019-11-02T16:06:09+01:00;;Ordinateur(s),Tablette(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);Tablette(s);;Imprimante(s);;Connexion Wi-Fi;;;
Blibliothèque La Meilleraye-de-Bretagne;Blibliothèque La Meilleraye-de-Bretagne;;Bibliothèque / Médiathèque;;72 rue des frères templé;44520;La Meilleraye-de-Bretagne;44095;0228504478;http://www.cc-castelbriantais.fr/reseau-des-bibliotheques;Lieu de lecture et d'activités.;;;tout public;;;gratuit;fermé;16h30-18h30;15h-17h;fermé;fermé;fermé;10h30-12h;fermé le mardi pendant les vacances scolaires.;1;0;0;0;0;0;;1;0;0;Club informatique :  se réunit dans l’espace Informatique de la Bibliothèque. Les cours se déroulent sur une durée de 10h (en 5 modules de 2h) avec deux personnes à la fois. Mardi et vendredi de 10h à 12h et de 14h à 16h.Tarifs : 40€ Contact : Monsieur Jean-Luc Chantome;;47.560023, -1.401828;Z7R3-MU6M;2018-05-31T13:35:01+02:00;2018-05-31T13:40:45+02:00;2019-11-02T15:45:13+01:00;Formation;Ordinateur(s);Ordinateur(s);;;;;;Formation;;
Pôle Emploi Machecoul;Pôle Emploi;;Institution;;19 rue Marcel Brunelière;44270;Machecoul-Saint-Même;44087;3949;https://www.pole-emploi.fr/accueil/;;;;tout public;;uniquement pour les recherches d'emploi;gratuit;8h30-12h30;8h30-12h30;8h30-12h30;8h30-12h30;8h30-15h30;fermé;fermé;du lundi au mercredi : 12h30-16h30 sur RDV;1;0;0;1;0;0;6 postes dont 1 réservé au site www.emploi-store.fr;0;1;0;▪ 1 personne formée guide etaide les usagers▪ Ateliers d'apprentissage;;46.986249, -1.812922;Y7EP-4A5S;2019-10-01T16:52:57+02:00;2019-10-01T16:52:57+02:00;2019-11-02T15:34:25+01:00;Accompagnement individuel;Ordinateur(s),Imprimante(s);Ordinateur(s);;;Imprimante(s);;;;Accompagnement individuel;
médiathèque de Lavau-sur-Loire;Médiathèque intercommunale Estuaire et Sillon,;bibliotheque.lavausurloire@estuaire-sillon.fr;Bibliothèque / Médiathèque;;1 bis rue de la Mairie;44260;Lavau-sur-Loire;44080;0240040876;http://mediatheques.estuaire-sillon.fr/lavausurloire;;;;tout public;;;gratuit;fermé;fermé;fermé;fermé;16h-17h30;fermé;10h30-12h;;1;0;1;1;0;0;1 ordinateurimprimante payante (0,10€ noir et blanc et 0,50€ couleurs);0;1;0;;;47.306473, -1.967457;RS7R-3VFV;2018-12-21T17:21:38+01:00;2018-12-21T17:27:10+01:00;2019-11-02T15:45:34+01:00;Accompagnement individuel;Ordinateur(s),Scanner(s),Imprimante(s);Ordinateur(s);;Scanner(s);Imprimante(s);;;;Accompagnement individuel;
CCAS Pornic;CCAS Pornic;;Institution;;1 rue Jean Sarment;44210;Pornic;44131;0240829700;;;;;tout public;bus lila;;gratuit;9h-12h 14h-17h;9h-12h 14h-17h;9h-12h 14h-17h;14h-17h;9h-12h 14h-17h;fermé;fermé;fermé le jeudi matin;1;0;0;1;0;1;Point accueil CAF, un ordinateur en libre accès;0;1;0;Accompagnement si nécessaire démarches en ligne ou utilisation de l'ordinateur;;47.123972, -2.112024;CHUF-HX42;2019-01-17T12:31:24+01:00;2019-01-17T12:38:18+01:00;2019-11-02T15:52:03+01:00;Accompagnement individuel;Ordinateur(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;;Imprimante(s);;Connexion Wi-Fi;;Accompagnement individuel;
médiathèque de Quilly;Médiathèque intercommunale Estuaire et Sillon;bibliotheque.quilly@estuaire-sillon.fr;Bibliothèque / Médiathèque;;rue de la Mairie;44750;Quilly;44139;0970210889;http://www.mediatheques.estuaire-sillon.fr/quilly;;;;tout public;;;gratuit;fermé;15h45-18h;10h30-12h30;fermé;16h30-18h30;10h-12h;fermé;horaires hors vacances scolaires;1;0;0;1;0;0;2 ordinateurs;0;1;0;;;47.460364, -1.952201;RERU-BJPT;2018-12-21T15:47:03+01:00;2018-12-21T15:52:14+01:00;2019-11-02T15:52:56+01:00;Accompagnement individuel;Ordinateur(s),Imprimante(s);Ordinateur(s);;;Imprimante(s);;;;Accompagnement individuel;
Maison de quartier La Bouletterie;Maison de quartier La Bouletterie Saint-Nazaire;mqbouletterie@wanadoo.fr;Association;;29 rue des Frênes;44600;Saint-Nazaire;44184;0240703522;http://www.fmq-saintnazaire.fr/bienvenue/index.php/les-maisons-de-quartier/la-bouletterie;;;;tout public;;;gratuit;14h-18h;9h-12h 14h-18h;9h-12h 14h-18h;14h-18h;9h-12h 14h-18h;;;;1;0;1;1;1;0;2 Ordinateur Vidéoprojecteur Scanner;0;1;0;;;47.26052, -2.260385;4RUU-7YYS;2018-12-21T15:11:19+01:00;2018-12-21T15:17:24+01:00;2019-11-02T16:01:51+01:00;Accompagnement individuel;Ordinateur(s),Scanner(s),Imprimante(s),Borne(s) CAF;Ordinateur(s);;Scanner(s);Imprimante(s);Borne(s) CAF;;;Accompagnement individuel;
Médiathèque de la Chapelle-Launay;Médiathèque intercommunale Estuaire et Sillon;bibliotheque.lachapellelaunay@estuaire-sillon.fr;Bibliothèque / Médiathèque;;1 rue du Sacré Coeur;44260;La Chapelle-Launay;44033;0240479420;http://www.lachapellelaunay.eu/-Bibliotheque-du-Moulin,303-.html;;;;tout public;;;gratuit;;16h-18h30;10h-12h30 14h-18h30;;;10h-12h;;;1;0;0;1;0;0;Photocopie payante: 0,20€ noir/blanc, 0,50€ en couleurs;0;1;0;;;47.370807, -1.971237;9N49-2PHZ;2018-12-21T12:46:55+01:00;2018-12-21T12:51:45+01:00;2019-11-02T16:16:15+01:00;Accompagnement individuel;Ordinateur(s),Imprimante(s);Ordinateur(s);;;Imprimante(s);;;;Accompagnement individuel;
Médiathèque Jacques Fairand;Médiathèque intercommunale Estuaire et Sillon;mediatheque.cordemais@estuaire-sillon.fr;Bibliothèque / Médiathèque;;2 rue des quatre Vents;44360;Cordemais;44045;0240578220;http://www.bmcordemais.cassioweb.com;;;;tout public;;;gratuit;fermé;16h30-18h30;10h-12h00 14h-18h30;16h00-18h30;fermé;10h00-13h00.;fermé;fermé samedi matin en juillet et août;1;0;0;0;0;0;;0;0;0;;;47.290296, -1.878222;FJ3W-424C;2019-10-01T16:38:21+02:00;2019-10-01T16:47:33+02:00;2019-11-02T15:39:21+01:00;;Ordinateur(s);Ordinateur(s);;;;;;;;
Centre Médico-Social;Centre Médico-Social;;Institution;;8 rue de la Résistance;44250;Saint-Brévin-les-Pins;44154;0240272585;;;;;tout public;;;gratuit;9h00-12h15 14h00-17h15;9h00-12h15 14h00-17h15;9h00-12h15 14h00-17h15;9h00-12h15;9h00-12h15 14h00-17h15;fermé;;;0;0;0;0;0;0;;0;0;0;;;47.246503, -2.168189;GZAC-29N8;2019-10-01T14:22:56+02:00;2019-10-01T14:25:01+02:00;2019-11-02T15:54:43+01:00;;;;;;;;;;;
Office de Tourisme;Office de Tourisme de Quimiac-Mesquer;;Institution;;place de l'orée du bois;44420;Mesquer;44097;0970210889;http://www.mesquerquimiac.com/office-de-tourisme;;;;tout public;;;gratuit;;;;;;;;Horaires hors vacances scolaires;0;0;0;0;0;1;;0;0;0;;;47.406053, -2.483984;9FDZ-B4PV;2018-12-21T15:49:10+01:00;2018-12-21T16:11:44+01:00;2019-11-02T15:49:16+01:00;;Connexion Wi-Fi;;;;;;Connexion Wi-Fi;;;
Pôle Emploi;Pôle Emploi;;Institution;;336 rue de Châteaubriand;44150;Ancenis - Saint-Géréon;44003;3949;https://www.pole-emploi.fr/accueil/;Vous trouverez ici des ordinateurs mis à votre disposition et qui vous permettront d'avoir accès à l'ensemble de l'offre de service numérique Pôle Emploi.;;;tout public;train (à environ 15 minutes de marche de la gare);uniquement pour les recherches d'emploi et activités associées à l'emploi, l'orientation et la formation;gratuit;8h30-16h30;8h30-16h30;8h30-16h30;8h30-12h30;8h30-15h30;fermé;fermé;à partir de 12h30, uniquement sur rendez-vous;1;0;1;1;0;1;accès à une ligne téléphonique;1;1;1;Retrouvez les actualités sur la page facebook Pôle emploi Ancenis et accédez à la plateforme web des services digitaux de l'emploi : https://www.emploi-store.fr;;47.376223, -1.180484;6YWK-ESHR;2019-01-15T12:35:36+01:00;2019-01-15T12:48:57+01:00;2019-11-02T15:29:28+01:00;Formation,Accompagnement individuel,Fourniture d'équipement;Ordinateur(s),Scanner(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;Scanner(s);Imprimante(s);;Connexion Wi-Fi;Formation;Accompagnement individuel;Fourniture d'équipement
Centre socioculturel du Bout-des-Pavés ACCOORD;Centre socioculturel du Bout-des-Pavés ACCOORD;bout-des-paves@accoord.fr;Association;;3 rue Eugène-Thomas;44300;Nantes;44109;0240401916;https://www.accoord.fr/les-centres/nord/bout-des-paves-chene-des-anglais;"Le Centre Socioculturel du Bout des pavés reçoit aujourd’hui dans l’espace numérique dédié aux jeunes.
Dans le hall, une borne numérique CAF équipée d’une imprimante est disponible au public en accès libre le lundi, mardi, jeudi et vendredi de 16.00 à 18.00 et le mercredi avec l’accompagnement d’un professionnel de 10.00 à 12.00 et de14.00 à 17.00.
Cette borne permet d’accéder aux portails CAF, ACCOORD et Ville de Nantes – Cinq professionnels de l’ACCOORD ont été formés et disposent d’un classeur avec des fiches-techniques. Selon la complexité des situations ils orientent vers les professionnels compétents (techniciens ou CESF CAF).";;;tout public;Tram 2  ou C2 ou bus 96 arrêt « Chêne-des-Anglais »;;Gratuit;16h-18h;16h-18h;10h-12h et 14h-17h;16h-18h;16h-18h;;;Mercredi avec l’accompagnement d’un professionnel;0;0;0;1;1;0;;0;1;1;La borne CAF permet d’accéder aux portails CAF, ACCOORD et Ville de Nantes – Cinq professionnels de l’ACCOORD ont été formés et disposent d’un classeur avec des fiches-techniques. Selon la complexité des situations ils orientent vers les professionnels compétents (techniciens ou CESF CAF).;;47.263017, -1.57286;U5TW-7R9V;2018-12-07T12:44:27+01:00;2018-12-07T13:05:57+01:00;2019-12-02T11:14:13+01:00;Accompagnement individuel,Fourniture d'équipement;Imprimante(s),Borne(s) CAF;;;;Imprimante(s);Borne(s) CAF;;;Accompagnement individuel;Fourniture d'équipement
START'AIR Jeunes;START'AIR Jeunes Montoir-de Bretagne;contact@startair.fr;Association;;3 rue Pablo Neruda;44550;Montoir-de-Bretagne;44103;0240451192;http://www.startair.fr/montoir-de-bretagne;;;;13-25 ans;;uniquement pour les habitants de Saint-Joachim, et les adhérants de Montoir-de-Bretagne et Saint-Malo-de-Guersac;gratuit;14h-18h;14h-18h;14h-18h;14h-18h;14h-18h;14h-18h;fermé;Hors vacances scolaires, ouvert le mardi, jeudi et vendredi de 15h30-18hmercredi et samedi de 14h-18h30;1;1;0;1;0;1;4 ordinateurs2 tablettes;0;1;0;;;47.330968, -2.15336;RTQ4-7Y6C;2018-12-21T15:18:05+01:00;2018-12-21T15:28:04+01:00;2019-11-02T15:50:17+01:00;Accompagnement individuel;Ordinateur(s),Tablette(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);Tablette(s);;Imprimante(s);;Connexion Wi-Fi;;Accompagnement individuel;
Bibliothèque Marcel Rouvreau;Communauté de communes du Pays d'Ancenis;biblio.vairsurloire@pays-ancenis.com;Bibliothèque / Médiathèque;;impasse des sports;44150;Vair-sur-Loire;44163;0240833195;http://bibliofil.pays-ancenis.fr/;Il s’agit d’une bibliothèque. Vous pouvez venir lire sur place ou emprunter des documents. Vous avez également accès à un point numérique.;;;tout public;;;gratuit;fermé;fermé;10h-12h 15h-18h;fermé;16h45-18h30;10h-12h;10h30-11h30;;1;0;1;1;0;0;Des liseuses sont à disposition du public.;0;0;0;;;47.382206, -1.106937;G27S-GCNP;2019-01-23T11:28:04+01:00;2019-01-23T11:32:30+01:00;2019-11-02T15:30:06+01:00;;Ordinateur(s),Scanner(s),Imprimante(s);Ordinateur(s);;Scanner(s);Imprimante(s);;;;;
Pôle emploi;Pôle emploi Saint Naizaire;;Institution;;10 boulevard de l'Université;44600;Saint-Nazaire;44184;09 72 72 39 49;https://www.pole-emploi.fr/annuaire/st-nazaire-44021;;;;demandeurs d'emploi;;uniquement pour les reherches d'emploi, sous inscription;gratuit;8h30-12h30 12h30-16h30;8h30-12h30 12h30-16h30;8h30-12h30 12h30-16h30;8h30-12h30;8h30-12h30 12h30-15h30;;;;1;0;0;1;0;0;;0;0;0;;;47.255165, -2.268032;6W5V-3UNW;2019-01-29T12:50:56+01:00;2019-01-29T12:55:56+01:00;2019-11-02T16:01:51+01:00;;Ordinateur(s),Imprimante(s);Ordinateur(s);;;Imprimante(s);;;;;
Relais CAF;Relais CAF De La Presqu'ile Guerandaise;;Institution;;1 impasse Anne de Bretagne;44350;Guérande;44069;08 10 25 44 10;https://www.loire-atlantique.fr/jcms/classement-des-contenus/par-territoire/communaute-d-agglomeration-cap-atlantique/caf-relais-de-la-presqu-ile-guerandaise-fr-p2_638493;;;;tout public;;uniquement pour administrative CAF;gratuit;14h-16h;9h-12h30 14h-16h;;;;;;Sur rendez-vous le jeudi de 14h à 16h;1;0;0;0;1;0;;0;0;0;;;47.332212, -2.42871;K8MR-G3W8;2019-01-29T16:32:36+01:00;2019-01-29T16:45:29+01:00;2019-11-02T15:41:46+01:00;;Ordinateur(s),Borne(s) CAF;Ordinateur(s);;;;Borne(s) CAF;;;;
Bibliothèque Les Mots Passants;Bibliothèque Les Mots Passants;bm@shc44.fr;Bibliothèque / Médiathèque;;3bis rue de la Bonne Fontaine;44680;Saint-Hilaire-de-Chaléons;44164;0240317330;http://www.saint-hilaire-de-chaleons.fr/biliotheque-2/;;;;tout public;;;gratuit;fermé;16h30-18h30;10h30-12h 14h30 16h30;fermé;fermé;fermé;10h30-12h;;0;0;0;0;0;0;;0;0;0;;;47.102558, -1.864527;96S4-4PYA;2019-01-30T11:56:30+01:00;2019-01-30T12:05:17+01:00;2019-11-02T15:56:10+01:00;;;;;;;;;;;
Relais CAF;Relais CAF permanence de Savenay;;Institution;;Dojo salle 3 Rue des mésanges;44260;Savenay;44195;0 810 25 44 10;https://www.loire-atlantique.fr/jcms/classement-des-contenus/lieux/lieux-d-info-habitat-logement/par-public/tout-public/caf-permanence-de-savenay-fr-p2_638500;;;;tout public;;uniquement démarche adminstrative CAF;gratuit;;9h00-12h00;;;;;;;1;0;0;0;1;0;;0;0;0;;;47.360328, -1.938762;ZLJU-JHVE;2019-01-29T17:45:38+01:00;2019-01-29T17:49:25+01:00;2019-11-02T16:03:59+01:00;;Ordinateur(s),Borne(s) CAF;Ordinateur(s);;;;Borne(s) CAF;;;;
Bibliothèque de Fercé;Bibliothèque de Fercé;;Bibliothèque / Médiathèque;;9 rue de la Mairie;44660;Fercé;44058;0240287553;https://castelbriantais.e-sezhame.fr/node/content/nid/14366;;;;tout public;;;;;;10h30-12h;13h30-16h;;10h30-12h;;;1;0;0;1;0;0;;0;0;0;;;47.795545, -1.41582;BW6F-AF47;2019-01-17T16:21:28+01:00;2019-01-17T16:24:48+01:00;2019-11-02T15:40:27+01:00;;Ordinateur(s),Imprimante(s);Ordinateur(s);;;Imprimante(s);;;;;
Bibliothèque de Legé;Bibliothèque;bibliotheque.lege@orange.fr;Bibliothèque / Médiathèque;;37 rue de la chaussée;44650;Legé;44081;0228216220;http://bibliotheque-lege.opac3d.fr/search.php?action=Accueil;;;;tout public;;;gratuit;fermé;16h30-18h30;10h-12h30 15h-18;fermé;16h30-18h30;10h-12h30 15h-18;fermé;;1;0;0;1;0;1;;1;0;0;;;46.887002, -1.594156;XUP6-XYZC;2019-11-02T15:22:44+01:00;2019-11-02T15:22:44+01:00;2019-11-02T15:22:52+01:00;Formation;Ordinateur(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;;Imprimante(s);;Connexion Wi-Fi;Formation;;
Bibliothèque de Machecoul Saint-Meme La Virgule;Bibliothèque de Machecoul Saint-Meme La Virgule;bibliotheque@machecoul.fr;Bibliothèque / Médiathèque;;7 rue des bouchers;44270;Machecoul-Saint-Même;44087;0240314761;;La cyber-base est au sein de la bibliothèque de Machecoul;;;tout public;;;ateliers payants : 3€/atelier pour les machecoulais / 4€/atelier pour les communes extérieures;fermé;16h-18h00;10h00-12h30 / 14h-17h30;fermé;16h-18h30;10h00-13h00 / 14h00-16h00;fermé;le mardi de 15h30 à 17h30 à l'Espace Régional Numérique;1;0;0;1;0;1;;1;1;0;▪ Proposition d'ateliers▪ 2 animateurs;;46.992371, -1.820933;REZY-RYKE;2019-10-01T16:43:19+02:00;2019-10-01T16:43:19+02:00;2019-11-02T18:02:21+01:00;Formation,Accompagnement individuel;Ordinateur(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;;Imprimante(s);;Connexion Wi-Fi;Formation;Accompagnement individuel;
CCAS Pornichet;CCAS Pornichet;;Institution;;115 avenue du Général de Gaulle;44380;Pornichet;44132;0240115538;;;;;tout public;;;gratuit;8h30-12h 13h30-17h30;8h30-12h 13h30-17h30;8h30-12h 13h30-17h30;8h30-12h 13h30-17h30;8h30-12h 13h30-17h30;fermé;fermé;;1;0;1;1;0;1;;0;0;0;;;47.262952, -2.339912;3M7W-AX4V;2019-11-02T15:24:44+01:00;2019-11-02T15:24:44+01:00;2019-11-02T15:24:53+01:00;;Ordinateur(s),Scanner(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;Scanner(s);Imprimante(s);;Connexion Wi-Fi;;;
Centre socio-culturel Tempo;Centre Socio-culturel Tempo;guillaume@csctempo.fr;Association;;7 rue du 11 novembre;44130;Blain;44015;0240464146;http://csctempo.fr/?lang=fr;Lieu de rencontre et de partage autour de jeu et de la convivialité, il y a un accès à des postes informatique réservés aux adhérents du centre.;;;tout public;;réservé aux adhérents;11€ annuel en individuel / 16€ pour une famille;9h30-12h30 14h-18h;14h-18h;9h30-12h30 14h-18h;9h30-12h30 14h-18h;9h30-12h30 14h-18h;fermé;fermé;ouverture du local Jeune : en période scolaire les mercredi et samedi de 14h à 18h – en vacances Scolaire du lundi au vendredi selon programme;1;0;0;0;0;1;8 postes informatique à disposition;0;1;1;Vendredi matin atelier informatique selon les besoin des personnes présentes.;;47.476321, -1.763342;HCJ7-APY3;2019-11-02T15:28:57+01:00;2019-11-02T15:28:57+01:00;2019-11-02T15:29:06+01:00;Accompagnement individuel,Fourniture d'équipement;Ordinateur(s),Connexion Wi-Fi;Ordinateur(s);;;;;Connexion Wi-Fi;;Accompagnement individuel;Fourniture d'équipement
Cybercentre Pornic;Médiathèque Armel de Wismes;cybercentre@mediatheque-pornic.fr;Bibliothèque / Médiathèque;;35 rue Tartifume;44210;Pornic;44131;0240826590;http://www.mediatheque-pornic.fr/;Le cybercentre se situe au sein de la médiathèque.;Logo cybercentre pornic.jpg;;tout public;7 min à pied de la gare de Pornic;;Accès ordinateur et wifi gratuit. Impressions noir 0.20€ / couleur 0.30€. Ateliers (hors gratuit) 7.40€;fermé;14h-17h30;10h-12h30 14h-17h30;14h-18h30;14h-17h30;10h-12h30 14h-16h30;fermé;Le cybercentre est fermé le vendredi de 14h à 16h et le samedi fermé le matin.Les ateliers se déroulent soit le mercredi de 17h30 à 19h, le jeudi soir de 18h30 à 20h, le vendredi de 13h45 à 16h et le samedi de 10h30 à 12h30.;1;0;0;1;0;1;9 ordinateurs disponibles, une imprimante/scanner, wifi, vidéoprojecteur.;1;1;0;1 animateur est toujours disponible pour aider et conseiller. Des ateliers sont proposés et adaptés à tous les niveaux tout au long de l'année. Pour participer aux ateliers, il faut être abonné à la médiathèque et régler sur place si ateliers payants.;;47.116741, -2.100931;RJ29-AK8F;2019-01-17T12:18:53+01:00;2019-01-17T12:18:53+01:00;2019-11-02T15:51:49+01:00;Formation,Accompagnement individuel;Ordinateur(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;;Imprimante(s);;Connexion Wi-Fi;Formation;Accompagnement individuel;
Espace Jean de la Fontaine;Espace Jean de la Fontaine;lalimouziniere@oceanet.fr;Bibliothèque / Médiathèque;;10 rue Charles de Gaulle;44310;La Limouzinière;44083;0240058282;https://www.mairie-la-limouziniere.com/culture-et-loisirs/espace-jean-de-la-fontaine/;;;;tout public;;;13€/famille/an;fermé;16h30-18h30;14h30-16h30;17h30-19h;fermé;14h30-16h30;fermé;;1;0;0;1;0;1;4 postes (connexion internet);0;0;1;;;46.991979, -1.596157;HTFG-JP8C;2019-11-02T15:44:50+01:00;2019-11-02T15:44:50+01:00;2019-11-02T15:44:58+01:00;Fourniture d'équipement;Ordinateur(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;;Imprimante(s);;Connexion Wi-Fi;;;Fourniture d'équipement
La Récuperette;La Récupérette;larecuperette@gmail.com;Association;;4 rue des châtaigniers;44190;Clisson;44043;0781955413;https://larecuperette.jimdo.com;"Recyclerie vendant à bas coût des objets divers donnés par les particuliers. 
On y trouve des objets du quotidien ainsi que quelques ordinateurs à la vente. 
Cette structure souhaite participer à la réduction de déchets et soutenir les initiatives locales d'animation.";la-recuperette-logo.jpg;;tout public;;;ordinateur vendu à partir de 10€;fermé;fermé;9h-13h  14h-18h;fermé;9h-13h;10h-13h  14h-18h;fermé;Ouvert le 2ème et 4ème samedi du mois.;1;0;0;0;0;0;;0;0;1;Dépôt d'objets possible  sur les horaires d'ouverture de la boutique;;47.077672, -1.282695;QAUS-8535;2018-11-21T14:49:28+01:00;2018-11-21T14:49:28+01:00;2019-11-02T15:38:57+01:00;Fourniture d'équipement;Ordinateur(s);Ordinateur(s);;;;;;;;Fourniture d'équipement
Maison de l'emploi Grandchamp-des-fontaines;Maison de l'emploi Grandchamp des fontaines;emploi@cceg.fr;Institution;;1 rue des cèdres;44119;Grandchamps-des-Fontaines;44066;0251121094;http://www.cceg.fr/annuaire-des-structures-192/maison-de-l-emploi-et-de-la-formation-grandchamp-des-fontaines-85.html?cHash=f1888d85829b12fa37a18e7e73806223;Lieu de formation lié à l'emploi.;;;tout public;;uniquement pour les recherches d'emploi.;gratuit;8h30-12h 14h-17h;8h30-12h 14h-17h;8h30-12h 14h-17h;8h30-12h 14h-17h;8h30-12h;fermé;fermé;;1;0;0;0;0;0;8 postes informatique avec accès internet.;1;0;0;;;47.364131, -1.606247;UNQB-EUTW;;;2019-11-02T15:28:53+01:00;Formation;Ordinateur(s);Ordinateur(s);;;;;;Formation;;
Médiatheque de Derval;Médiatheque de Derval;aurelie.genay@cc-chateaubriant-derval.fr;Bibliothèque / Médiathèque;;15 rue de la Tour Saint-Clair;44590;Derval;44051;0240280396;http://www.biblios-ccsd.net;;;;tout public;;réserve adhesion;gratuit;fermé;10h-13h;15h-19h;fermé;14h-19h;10h-13h  14h-19h;fermé;;1;1;0;0;0;1;outil de bureautique;0;0;0;;;47.667697, -1.6699;HJWX-6WPS;2019-11-02T15:39:44+01:00;2019-11-02T15:39:44+01:00;2019-11-02T15:39:50+01:00;;Ordinateur(s),Tablette(s),Connexion Wi-Fi;Ordinateur(s);Tablette(s);;;;Connexion Wi-Fi;;;
Médiathèque Lisa Bresner;Médiathèque Lisa Bresner;bm-ouest@mairie-nantes.fr;Bibliothèque / Médiathèque;;23 boulevard Emile Romanet;44100;Nantes;44109;0240415400;https://bm.nantes.fr/home.html;Conserve et donne accès à différents types de médias (livres, CD, films, etc.), permettant la consultation sur place et l'emprunt à domicile.;;;tout public;tram 1 - arrêt Jamet;;gratuit;fermé;13h30 18h;13h 18h;13h 18h;13h30 19h;fermé;11h 15h;la médiathèque est fermée le dimanche ainsi que les jours fériés.;1;1;0;1;0;1;des stations d'impression et des photocopieurs sont disponibles, ce service est payant : 0.10 € l'impression ou la copie A4 en noir et blanc.;0;1;0;accompagnement numérique les jeudis après-midi.;;47.209929, -1.60304;PX2A-GRSW;2019-12-02T11:09:34+01:00;2019-12-02T11:09:34+01:00;2019-12-02T11:10:07+01:00;Accompagnement individuel;Ordinateur(s),Tablette(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);Tablette(s);;Imprimante(s);;Connexion Wi-Fi;;Accompagnement individuel;
Point Relais Emploi Loire Divatte;Point Relais Emploi Loire Divatte;emploi@cc-loiredivatte.fr;Institution;;ZA de la Sensive;44450;Divatte-sur-Loire;44029;0251719213;https://www.cc-loiredivatte.fr;Accompagnement personnalisé à la recherche d'emploi/stage/formation.;;;demandeurs d'emploi,salariés,chefs d'entreprise;;;gratuit / pour les recherche d'emplois, possibilité de photocopie, téléphone, impression, scanner;13h30-17h;9h-12h30;9h-12h30;fermé;fermé;fermé;fermé;Sur rendez vous : lundi, mercredi et jeudi : 9h30-12h30mardi, mercredi jeudi : 13h30-17h;1;0;1;0;0;1;3 ordinateurs avec une connexion internet;1;1;0;Rédaction de CV et lettre de motivationRéorientation, stage, bilan de compétences;;47.262081, -1.339307;S7CG-WY9B;2019-11-02T15:43:05+01:00;2019-11-02T15:43:05+01:00;2019-11-02T15:43:35+01:00;Formation,Accompagnement individuel;Ordinateur(s),Scanner(s),Connexion Wi-Fi;Ordinateur(s);;Scanner(s);;;Connexion Wi-Fi;Formation;Accompagnement individuel;
